cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
bell,scaly,white,bruises,almond,attached,crowded,broad,white,enlarging,rhizomorphs,smooth,fibrous,white,white,partial,brown,one,pendant,green,several,woods
bell,smooth,white,no,anise,free,close,broad,orange,tapering,bulbous,smooth,smooth,gray,gray,universal,white,one,none,black,abundant,leaves
flat,grooves,green,bruises,creosote,descending,distant,narrow,buff,enlarging,equal,scaly,scaly,cinnamon,white,partial,white,two,flaring,brown,numerous,waste
flat,scaly,red,bruises,almond,attached,close,broad,brown,enlarging,equal,fibrous,smooth,brown,white,partial,brown,one,pendant,black,scattered,grasses
knobbed,scaly,purple,bruises,anise,free,crowded,broad,white,enlarging,club,scaly,smooth,buff,white,partial,orange,one,pendant,brown,several,meadows
bell,smooth,green,no,none,free,close,narrow,black,tapering,equal,smooth,smooth,red,white,partial,yellow,one,pendant,black,abundant,urban
flat,smooth,yellow,bruises,almond,free,close,narrow,chocolate,tapering,equal,silky,smooth,gray,gray,partial,white,one,pendant,white,several,leaves
bell,smooth,pink,bruises,anise,free,close,broad,gray,enlarging,rooted,silky,silky,cinnamon,white,partial,white,two,none,brown,solitary,paths
convex,scaly,white,bruises,creosote,free,distant,broad,purple,enlarging,cup,smooth,scaly,gray,gray,partial,white,one,pendant,brown,scattered,leaves
knobbed,scaly,green,bruises,foul,free,crowded,broad,white,enlarging,rhizomorphs,smooth,scaly,orange,white,partial,white,one,flaring,green,several,urban
flat,scaly,red,bruises,anise,free,close,broad,red,enlarging,rooted,fibrous,fibrous,white,white,partial,white,one,pendant,brown,scattered,paths
bell,grooves,brown,bruises,anise,free,close,broad,brown,enlarging,bulbous,smooth,smooth,brown,brown,partial,orange,other,large,brown,abundant,meadows
convex,smooth,cinnamon,no,anise,free,distant,narrow,purple,tapering,cup,smooth,smooth,yellow,yellow,partial,white,two,pendant,yellow,numerous,urban
sunken,fibrous,gray,no,none,attached,close,broad,black,enlarging,equal,fibrous,fibrous,white,gray,partial,brown,other,pendant,black,abundant,urban
sunken,smooth,brown,bruises,pungent,free,distant,narrow,yellow,tapering,rooted,smooth,smooth,cinnamon,white,universal,white,two,pendant,brown,scattered,urban
convex,grooves,buff,bruises,fishy,descending,close,narrow,red,tapering,bulbous,scaly,smooth,gray,gray,partial,orange,other,pendant,chocolate,scattered,urban
flat,smooth,yellow,no,anise,free,close,narrow,black,enlarging,club,smooth,smooth,white,white,partial,yellow,other,pendant,black,scattered,leaves
convex,fibrous,cinnamon,bruises,almond,free,distant,broad,purple,enlarging,cup,smooth,fibrous,cinnamon,white,partial,brown,two,cobwebby,brown,numerous,urban
convex,scaly,yellow,no,anise,notched,close,broad,chocolate,enlarging,equal,smooth,scaly,white,brown,universal,yellow,one,pendant,black,solitary,paths
convex,fibrous,brown,no,none,descending,distant,broad,green,enlarging,equal,scaly,scaly,yellow,white,partial,white,two,flaring,black,solitary,woods
convex,grooves,yellow,bruises,pungent,descending,crowded,broad,pink,enlarging,club,scaly,scaly,white,white,partial,orange,one,flaring,white,several,woods
convex,smooth,brown,bruises,foul,notched,crowded,broad,gray,enlarging,rhizomorphs,smooth,smooth,orange,white,universal,white,one,zone,green,numerous,urban
convex,smooth,purple,no,fishy,notched,close,broad,black,enlarging,bulbous,smooth,smooth,gray,white,universal,yellow,other,pendant,chocolate,numerous,paths
convex,fibrous,yellow,bruises,anise,attached,close,broad,black,enlarging,equal,fibrous,fibrous,white,brown,partial,brown,one,pendant,black,scattered,meadows
knobbed,smooth,purple,no,pungent,free,close,narrow,gray,tapering,rhizomorphs,smooth,smooth,white,white,universal,white,one,zone,brown,scattered,grasses
bell,scaly,yellow,no,anise,free,close,broad,orange,enlarging,bulbous,smooth,silky,red,white,partial,white,one,pendant,purple,scattered,paths
flat,scaly,yellow,no,anise,free,close,narrow,chocolate,tapering,equal,smooth,smooth,white,red,universal,yellow,one,zone,black,scattered,urban
convex,smooth,brown,no,almond,free,close,narrow,white,enlarging,bulbous,smooth,scaly,white,brown,partial,white,other,pendant,black,abundant,grasses
sunken,smooth,red,no,creosote,free,distant,broad,yellow,enlarging,rooted,smooth,smooth,cinnamon,cinnamon,universal,white,one,none,black,scattered,urban
bell,smooth,white,bruises,anise,free,close,broad,orange,tapering,club,silky,smooth,white,brown,universal,white,other,none,black,numerous,meadows
convex,scaly,purple,bruises,foul,free,close,narrow,black,enlarging,equal,scaly,smooth,orange,white,partial,orange,one,pendant,brown,scattered,urban
sunken,scaly,red,bruises,spicy,free,distant,narrow,green,tapering,equal,silky,smooth,white,white,partial,white,two,pendant,yellow,several,urban
conical,fibrous,red,bruises,pungent,free,crowded,broad,white,enlarging,club,fibrous,fibrous,white,white,partial,white,one,evanescent,black,scattered,meadows
flat,smooth,pink,no,none,free,close,narrow,brown,tapering,equal,smooth,smooth,gray,white,partial,yellow,other,sheathing,chocolate,abundant,woods
bell,smooth,white,bruises,anise,free,crowded,broad,white,enlarging,club,smooth,smooth,buff,white,partial,white,one,evanescent,brown,numerous,urban
convex,smooth,yellow,bruises,spicy,free,distant,broad,green,tapering,rooted,smooth,smooth,yellow,yellow,universal,yellow,two,sheathing,yellow,solitary,grasses
convex,scaly,brown,bruises,none,descending,close,broad,pink,enlarging,bulbous,smooth,scaly,red,white,partial,white,other,large,purple,abundant,urban
knobbed,fibrous,gray,bruises,spicy,descending,distant,broad,purple,enlarging,equal,scaly,scaly,yellow,yellow,partial,white,two,large,brown,several,woods
bell,fibrous,yellow,bruises,almond,attached,close,broad,chocolate,enlarging,equal,fibrous,fibrous,red,red,partial,brown,other,pendant,purple,scattered,grasses
bell,smooth,brown,bruises,anise,free,crowded,narrow,gray,tapering,club,smooth,smooth,buff,buff,universal,yellow,one,sheathing,brown,scattered,grasses
bell,scaly,yellow,bruises,almond,free,close,narrow,gray,enlarging,equal,silky,silky,white,brown,partial,white,other,pendant,brown,scattered,meadows
conical,grooves,yellow,bruises,anise,free,close,broad,pink,enlarging,club,smooth,smooth,buff,white,partial,white,one,flaring,brown,scattered,grasses
flat,smooth,gray,no,none,notched,close,narrow,black,tapering,equal,smooth,smooth,red,red,partial,white,one,zone,purple,scattered,paths
convex,smooth,white,bruises,anise,free,close,broad,brown,enlarging,bulbous,silky,silky,brown,brown,universal,white,one,none,black,scattered,grasses
knobbed,scaly,yellow,no,pungent,free,close,narrow,white,enlarging,rhizomorphs,smooth,silky,white,white,universal,white,one,none,brown,several,woods
conical,scaly,yellow,bruises,almond,free,close,narrow,brown,enlarging,club,silky,smooth,white,white,universal,white,one,pendant,green,clustered,waste
flat,fibrous,red,bruises,fishy,descending,close,broad,pink,enlarging,equal,smooth,smooth,gray,white,partial,orange,one,large,brown,scattered,urban
convex,fibrous,white,bruises,anise,free,distant,narrow,buff,tapering,cup,smooth,silky,white,yellow,universal,white,one,pendant,yellow,numerous,woods
bell,grooves,cinnamon,bruises,musty,descending,distant,broad,gray,enlarging,cup,scaly,smooth,white,pink,partial,orange,one,flaring,orange,numerous,waste
flat,fibrous,yellow,bruises,none,free,close,narrow,white,tapering,bulbous,smooth,smooth,red,white,partial,yellow,other,sheathing,brown,several,urban
convex,scaly,purple,bruises,fishy,free,close,broad,black,enlarging,bulbous,fibrous,fibrous,gray,gray,partial,brown,one,cobwebby,chocolate,abundant,leaves
convex,grooves,brown,bruises,musty,free,close,broad,buff,enlarging,cup,smooth,smooth,pink,white,partial,orange,two,pendant,black,scattered,grasses
flat,smooth,yellow,bruises,anise,free,close,broad,pink,enlarging,bulbous,scaly,smooth,brown,brown,partial,orange,one,large,black,several,urban
bell,smooth,brown,bruises,none,attached,close,narrow,orange,enlarging,bulbous,smooth,fibrous,red,red,partial,white,other,cobwebby,purple,abundant,woods
flat,smooth,brown,no,pungent,notched,close,narrow,pink,tapering,club,smooth,scaly,white,white,universal,yellow,one,zone,brown,clustered,leaves
knobbed,scaly,green,bruises,pungent,descending,close,narrow,white,enlarging,rhizomorphs,scaly,smooth,buff,buff,partial,orange,one,pendant,brown,several,leaves
flat,scaly,buff,bruises,fishy,attached,close,broad,brown,enlarging,equal,fibrous,fibrous,white,gray,partial,white,other,pendant,brown,solitary,grasses
convex,scaly,brown,no,none,free,close,narrow,black,tapering,equal,fibrous,smooth,red,white,universal,white,one,evanescent,purple,scattered,grasses
convex,fibrous,cinnamon,bruises,almond,attached,close,narrow,orange,enlarging,bulbous,smooth,smooth,white,brown,partial,brown,other,evanescent,black,abundant,grasses
flat,fibrous,buff,no,none,free,close,narrow,black,enlarging,bulbous,scaly,smooth,gray,gray,partial,white,one,large,chocolate,solitary,paths
conical,fibrous,pink,no,none,descending,crowded,broad,brown,enlarging,club,smooth,scaly,white,white,partial,orange,one,evanescent,white,scattered,grasses
convex,scaly,yellow,bruises,musty,free,distant,broad,buff,enlarging,cup,smooth,scaly,pink,white,partial,white,one,pendant,black,scattered,woods
knobbed,smooth,white,bruises,foul,descending,crowded,broad,black,enlarging,equal,smooth,smooth,white,orange,partial,white,one,large,green,several,waste
bell,smooth,red,no,almond,free,close,broad,white,enlarging,club,smooth,silky,white,brown,partial,white,one,pendant,black,scattered,urban
conical,fibrous,white,bruises,pungent,attached,crowded,broad,brown,enlarging,club,fibrous,smooth,white,white,partial,white,one,evanescent,white,clustered,woods
flat,smooth,red,no,musty,free,distant,narrow,white,enlarging,rooted,smooth,scaly,pink,pink,universal,yellow,two,zone,black,solitary,grasses
bell,fibrous,cinnamon,no,almond,descending,close,broad,brown,enlarging,bulbous,scaly,smooth,white,white,partial,orange,one,large,yellow,numerous,urban
bell,grooves,brown,no,fishy,free,close,narrow,brown,enlarging,bulbous,scaly,smooth,gray,gray,partial,white,one,flaring,chocolate,solitary,grasses
bell,smooth,white,bruises,anise,free,close,broad,black,enlarging,club,fibrous,fibrous,gray,white,partial,brown,other,pendant,chocolate,abundant,grasses
convex,scaly,yellow,no,almond,notched,distant,broad,gray,tapering,cup,smooth,smooth,cinnamon,white,partial,yellow,one,pendant,black,scattered,woods
knobbed,fibrous,yellow,bruises,anise,free,close,broad,gray,enlarging,club,smooth,fibrous,buff,white,partial,brown,one,pendant,brown,several,meadows
convex,smooth,yellow,no,creosote,notched,distant,narrow,yellow,tapering,equal,smooth,smooth,white,white,partial,white,two,zone,buff,solitary,grasses
convex,smooth,red,bruises,anise,descending,crowded,broad,gray,enlarging,club,scaly,scaly,buff,buff,partial,orange,one,pendant,brown,clustered,waste
sunken,scaly,pink,no,anise,free,distant,narrow,pink,enlarging,rooted,silky,silky,white,white,universal,white,two,none,brown,scattered,leaves
sunken,smooth,buff,no,almond,free,close,narrow,brown,tapering,rooted,smooth,smooth,white,white,partial,white,one,pendant,black,solitary,grasses
knobbed,fibrous,white,bruises,almond,attached,close,broad,purple,enlarging,cup,smooth,fibrous,pink,pink,partial,brown,two,evanescent,brown,scattered,waste
knobbed,scaly,cinnamon,no,pungent,free,close,narrow,white,tapering,rhizomorphs,smooth,smooth,white,white,universal,white,one,zone,black,several,urban
convex,smooth,brown,no,none,notched,crowded,narrow,pink,tapering,equal,fibrous,smooth,yellow,white,universal,white,one,zone,black,numerous,woods
bell,scaly,brown,no,almond,free,close,narrow,black,tapering,bulbous,silky,silky,brown,white,universal,white,other,none,black,abundant,paths
knobbed,scaly,yellow,bruises,anise,attached,close,broad,white,enlarging,rooted,fibrous,scaly,white,white,partial,brown,one,cobwebby,brown,several,grasses
conical,scaly,buff,no,anise,free,crowded,narrow,brown,enlarging,club,silky,scaly,buff,white,universal,white,one,pendant,brown,solitary,urban
conical,scaly,white,no,anise,free,distant,narrow,yellow,enlarging,club,smooth,smooth,white,white,partial,yellow,one,pendant,brown,solitary,leaves
convex,scaly,yellow,bruises,almond,attached,close,broad,brown,enlarging,club,fibrous,smooth,white,orange,partial,brown,one,evanescent,green,numerous,meadows
convex,scaly,yellow,bruises,almond,free,close,narrow,gray,enlarging,rooted,smooth,smooth,white,white,universal,yellow,one,zone,brown,several,grasses
bell,scaly,white,bruises,anise,free,close,broad,brown,enlarging,club,smooth,smooth,red,white,universal,white,other,pendant,black,abundant,meadows
bell,smooth,brown,no,none,notched,close,narrow,gray,enlarging,club,smooth,smooth,white,red,partial,white,other,zone,brown,scattered,meadows
convex,scaly,yellow,no,spicy,free,distant,narrow,black,tapering,cup,smooth,silky,white,yellow,universal,white,one,pendant,yellow,numerous,paths
convex,smooth,pink,bruises,anise,notched,close,narrow,black,enlarging,bulbous,smooth,smooth,white,white,universal,yellow,other,sheathing,black,abundant,paths
sunken,fibrous,gray,no,fishy,free,close,narrow,gray,enlarging,equal,fibrous,smooth,white,white,partial,brown,other,pendant,black,solitary,waste
bell,fibrous,purple,bruises,none,notched,close,narrow,white,tapering,bulbous,smooth,smooth,white,red,universal,yellow,one,zone,purple,several,woods
bell,smooth,purple,bruises,almond,attached,close,broad,brown,enlarging,club,fibrous,fibrous,white,white,partial,brown,other,evanescent,purple,abundant,waste
convex,scaly,white,bruises,creosote,attached,distant,broad,buff,enlarging,cup,smooth,fibrous,white,cinnamon,partial,white,one,pendant,brown,numerous,leaves
conical,scaly,yellow,bruises,pungent,free,crowded,broad,brown,enlarging,rooted,silky,silky,white,white,universal,white,one,none,brown,scattered,grasses
convex,fibrous,gray,no,spicy,free,distant,broad,pink,enlarging,cup,smooth,scaly,yellow,white,partial,white,two,large,white,clustered,leaves
flat,smooth,yellow,no,none,free,close,narrow,chocolate,tapering,equal,smooth,smooth,red,white,universal,yellow,one,zone,purple,solitary,woods
convex,fibrous,green,bruises,anise,free,distant,broad,purple,enlarging,bulbous,smooth,smooth,yellow,yellow,partial,brown,two,pendant,purple,numerous,grasses
sunken,fibrous,buff,no,creosote,attached,close,broad,yellow,enlarging,equal,fibrous,smooth,cinnamon,cinnamon,partial,brown,one,evanescent,brown,solitary,urban
convex,smooth,white,bruises,pungent,free,close,narrow,black,enlarging,cup,smooth,fibrous,white,yellow,partial,brown,two,evanescent,black,several,grasses
knobbed,smooth,white,no,almond,free,crowded,narrow,gray,enlarging,club,smooth,smooth,white,white,universal,yellow,one,sheathing,brown,several,meadows
flat,scaly,brown,no,pungent,free,close,narrow,chocolate,enlarging,equal,smooth,smooth,gray,gray,partial,white,one,none,chocolate,several,grasses
flat,scaly,gray,no,none,free,crowded,broad,white,tapering,equal,silky,silky,white,white,partial,white,one,evanescent,white,abundant,paths
convex,smooth,white,bruises,musty,free,distant,broad,purple,enlarging,cup,fibrous,smooth,pink,pink,partial,white,two,pendant,brown,numerous,meadows
conical,smooth,yellow,no,none,notched,crowded,broad,brown,tapering,equal,smooth,smooth,white,white,partial,white,one,evanescent,white,clustered,grasses
knobbed,smooth,cinnamon,no,anise,free,close,narrow,gray,enlarging,club,smooth,smooth,buff,white,universal,yellow,one,pendant,brown,several,grasses
flat,scaly,gray,no,spicy,free,crowded,broad,buff,tapering,cup,silky,smooth,yellow,yellow,partial,white,two,pendant,brown,abundant,grasses
convex,scaly,white,no,spicy,free,close,narrow,purple,tapering,club,smooth,silky,yellow,yellow,universal,white,two,pendant,yellow,numerous,waste
bell,smooth,white,bruises,creosote,free,close,narrow,purple,tapering,cup,smooth,smooth,cinnamon,cinnamon,universal,white,two,pendant,buff,numerous,urban
bell,smooth,yellow,bruises,musty,attached,distant,broad,white,enlarging,club,fibrous,fibrous,pink,pink,partial,brown,two,cobwebby,brown,scattered,grasses
bell,scaly,purple,bruises,anise,attached,close,broad,black,enlarging,bulbous,smooth,smooth,gray,gray,partial,white,other,pendant,brown,abundant,woods
flat,smooth,pink,bruises,anise,descending,crowded,narrow,pink,enlarging,club,scaly,scaly,white,buff,partial,white,one,pendant,purple,clustered,leaves
convex,scaly,green,bruises,creosote,attached,distant,broad,gray,enlarging,cup,fibrous,fibrous,white,cinnamon,partial,white,two,cobwebby,buff,numerous,urban
sunken,smooth,white,bruises,almond,free,distant,narrow,yellow,tapering,bulbous,smooth,scaly,white,white,partial,white,one,pendant,brown,clustered,woods
convex,fibrous,white,bruises,pungent,free,close,broad,pink,enlarging,equal,fibrous,fibrous,orange,orange,partial,white,one,cobwebby,green,several,urban
knobbed,fibrous,white,no,anise,free,crowded,narrow,white,tapering,rhizomorphs,silky,silky,buff,white,partial,white,one,pendant,brown,several,woods
convex,grooves,buff,bruises,anise,descending,close,broad,pink,enlarging,club,scaly,scaly,white,buff,partial,orange,one,pendant,brown,scattered,grasses
convex,smooth,brown,bruises,pungent,attached,close,narrow,buff,enlarging,cup,smooth,smooth,yellow,white,partial,white,two,evanescent,yellow,numerous,waste
convex,grooves,yellow,bruises,anise,descending,close,broad,purple,enlarging,club,smooth,scaly,yellow,yellow,partial,orange,two,large,brown,numerous,grasses
convex,scaly,gray,bruises,foul,free,close,narrow,white,enlarging,rooted,silky,scaly,orange,orange,partial,white,one,none,green,clustered,paths
flat,scaly,yellow,no,anise,free,close,broad,red,tapering,club,smooth,smooth,brown,white,partial,white,one,none,black,scattered,meadows
sunken,grooves,brown,bruises,creosote,descending,close,broad,black,enlarging,equal,smooth,scaly,white,cinnamon,partial,orange,two,large,brown,several,woods
flat,grooves,buff,bruises,almond,free,close,broad,chocolate,enlarging,equal,smooth,scaly,red,white,partial,orange,other,flaring,black,scattered,paths
flat,scaly,yellow,bruises,almond,notched,close,broad,black,enlarging,club,smooth,smooth,white,white,universal,yellow,other,pendant,black,numerous,woods
conical,fibrous,gray,no,pungent,free,crowded,broad,brown,tapering,club,scaly,scaly,white,white,partial,white,one,evanescent,white,clustered,grasses
flat,scaly,buff,no,fishy,free,crowded,broad,black,tapering,equal,silky,fibrous,gray,gray,partial,white,other,evanescent,brown,abundant,urban
convex,smooth,purple,no,fishy,free,close,narrow,white,tapering,club,smooth,smooth,white,red,partial,yellow,other,sheathing,purple,numerous,woods
bell,smooth,pink,no,musty,free,close,narrow,yellow,enlarging,club,smooth,smooth,pink,white,universal,yellow,one,sheathing,black,solitary,waste
bell,grooves,red,bruises,almond,free,close,broad,gray,enlarging,club,scaly,scaly,brown,white,partial,orange,other,flaring,black,numerous,meadows
knobbed,scaly,brown,bruises,anise,free,crowded,broad,white,enlarging,rhizomorphs,smooth,smooth,white,white,partial,white,one,pendant,brown,several,grasses
conical,smooth,brown,bruises,none,descending,crowded,broad,brown,tapering,club,fibrous,scaly,buff,white,partial,white,one,large,brown,clustered,paths
convex,fibrous,white,bruises,anise,attached,distant,broad,green,enlarging,club,fibrous,smooth,cinnamon,cinnamon,partial,brown,two,cobwebby,brown,solitary,paths
convex,fibrous,brown,no,spicy,free,distant,broad,buff,enlarging,equal,fibrous,smooth,yellow,white,partial,white,one,cobwebby,yellow,several,urban
knobbed,smooth,purple,bruises,pungent,descending,crowded,broad,gray,enlarging,rhizomorphs,scaly,smooth,white,white,partial,white,one,pendant,white,several,woods
convex,grooves,purple,bruises,fishy,descending,close,broad,black,enlarging,bulbous,smooth,scaly,gray,white,partial,orange,other,flaring,black,abundant,meadows
bell,grooves,yellow,bruises,foul,descending,crowded,broad,pink,enlarging,club,smooth,smooth,white,orange,partial,orange,one,pendant,green,numerous,grasses
convex,scaly,red,bruises,creosote,descending,distant,broad,black,enlarging,rooted,smooth,scaly,cinnamon,cinnamon,partial,white,two,pendant,buff,solitary,grasses
sunken,scaly,buff,bruises,spicy,descending,distant,broad,green,enlarging,rooted,scaly,smooth,yellow,white,partial,white,two,large,yellow,solitary,meadows
flat,grooves,red,bruises,none,descending,close,broad,red,enlarging,club,scaly,scaly,red,white,partial,white,other,pendant,black,scattered,grasses
bell,fibrous,yellow,bruises,anise,attached,close,broad,gray,enlarging,club,fibrous,fibrous,brown,brown,partial,white,one,evanescent,black,abundant,grasses
conical,scaly,red,no,anise,free,crowded,broad,brown,tapering,equal,smooth,smooth,brown,white,partial,brown,one,pendant,black,numerous,paths
convex,fibrous,brown,no,none,free,close,broad,purple,enlarging,equal,smooth,smooth,white,white,partial,white,one,large,brown,numerous,urban
flat,scaly,pink,bruises,pungent,free,crowded,broad,brown,enlarging,rooted,smooth,scaly,white,white,partial,white,one,flaring,white,clustered,grasses
convex,scaly,white,bruises,musty,free,distant,narrow,purple,enlarging,club,smooth,silky,pink,pink,partial,white,one,none,orange,scattered,paths
flat,scaly,yellow,bruises,anise,free,close,broad,orange,enlarging,rooted,scaly,scaly,gray,white,partial,white,one,pendant,chocolate,abundant,paths
sunken,smooth,red,no,creosote,free,distant,broad,yellow,enlarging,club,smooth,smooth,white,white,universal,yellow,one,zone,brown,solitary,leaves
convex,smooth,green,bruises,almond,free,distant,broad,purple,enlarging,cup,scaly,scaly,cinnamon,white,partial,white,one,pendant,black,numerous,meadows
convex,smooth,pink,bruises,anise,notched,close,broad,white,tapering,rooted,smooth,smooth,white,white,partial,white,other,pendant,black,scattered,grasses
convex,smooth,white,bruises,almond,free,distant,narrow,buff,enlarging,club,silky,smooth,cinnamon,white,universal,white,two,none,buff,scattered,grasses
knobbed,fibrous,gray,bruises,none,attached,close,narrow,gray,enlarging,rhizomorphs,smooth,fibrous,white,yellow,partial,brown,two,cobwebby,yellow,solitary,paths
bell,smooth,yellow,no,anise,notched,close,narrow,black,tapering,club,smooth,smooth,brown,white,partial,yellow,other,zone,brown,scattered,woods
convex,fibrous,yellow,no,musty,free,crowded,narrow,purple,tapering,cup,silky,smooth,pink,pink,universal,white,one,pendant,orange,several,grasses
bell,scaly,yellow,no,none,free,close,broad,black,tapering,club,silky,silky,red,white,partial,white,other,pendant,black,abundant,grasses
flat,scaly,yellow,bruises,anise,free,distant,broad,pink,enlarging,rooted,scaly,scaly,yellow,white,partial,orange,one,pendant,yellow,scattered,grasses
sunken,scaly,white,bruises,creosote,free,distant,narrow,white,enlarging,rooted,smooth,smooth,white,white,universal,white,two,pendant,black,solitary,meadows
bell,scaly,white,no,almond,free,distant,narrow,green,tapering,rooted,smooth,smooth,cinnamon,white,partial,yellow,two,zone,buff,solitary,urban
knobbed,grooves,yellow,bruises,almond,descending,close,broad,gray,enlarging,club,scaly,scaly,orange,white,partial,white,one,flaring,brown,several,grasses
flat,scaly,yellow,bruises,anise,free,close,broad,gray,enlarging,equal,smooth,fibrous,white,brown,partial,brown,other,pendant,black,scattered,meadows
bell,scaly,gray,no,musty,free,close,broad,yellow,tapering,rooted,silky,silky,pink,pink,universal,white,one,pendant,orange,numerous,grasses
knobbed,smooth,white,no,pungent,notched,close,narrow,pink,enlarging,rhizomorphs,smooth,smooth,white,orange,partial,yellow,one,zone,green,several,woods
sunken,fibrous,red,bruises,foul,free,close,broad,brown,enlarging,equal,smooth,smooth,orange,white,partial,orange,one,large,brown,clustered,woods
flat,fibrous,brown,bruises,none,free,close,broad,gray,enlarging,rooted,smooth,scaly,white,cinnamon,partial,orange,one,large,black,solitary,urban
convex,fibrous,yellow,bruises,creosote,attached,distant,broad,purple,enlarging,club,smooth,fibrous,cinnamon,white,partial,white,two,pendant,buff,numerous,paths
flat,fibrous,brown,bruises,almond,free,crowded,broad,pink,enlarging,rhizomorphs,smooth,fibrous,buff,buff,partial,white,one,evanescent,brown,several,woods
convex,smooth,white,no,creosote,notched,close,narrow,black,enlarging,equal,smooth,smooth,white,cinnamon,universal,yellow,two,zone,black,numerous,waste
knobbed,smooth,purple,bruises,anise,free,crowded,broad,gray,enlarging,rhizomorphs,fibrous,smooth,buff,buff,partial,white,one,evanescent,brown,several,paths
flat,fibrous,gray,bruises,none,descending,crowded,narrow,pink,enlarging,club,smooth,scaly,white,white,partial,orange,one,large,white,clustered,urban
bell,smooth,yellow,no,almond,notched,close,narrow,gray,enlarging,club,smooth,smooth,white,white,partial,white,other,pendant,brown,scattered,meadows
knobbed,grooves,green,bruises,foul,free,crowded,broad,white,enlarging,rhizomorphs,scaly,scaly,white,white,partial,orange,one,flaring,green,solitary,paths
knobbed,fibrous,white,bruises,foul,free,crowded,broad,gray,tapering,equal,smooth,scaly,white,orange,partial,white,one,flaring,green,several,grasses
