cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
c,y,b,f,l,f,w,n,n,e,c,k,y,b,w,u,w,o,p,n,y,u
c,y,w,f,l,f,d,n,y,e,c,s,s,w,w,p,y,o,p,n,y,l
x,y,y,t,a,a,c,b,n,e,c,f,s,w,o,p,n,o,e,r,n,m
x,y,y,t,a,f,c,n,g,e,r,s,s,w,w,u,y,o,z,n,v,g
b,y,w,t,l,f,c,b,n,e,c,s,s,e,w,u,w,b,p,k,a,m
b,s,n,f,n,n,c,n,g,e,c,s,s,w,e,p,w,b,z,n,s,m
x,y,y,f,s,f,d,n,k,t,u,s,k,w,y,u,w,o,p,y,n,p
x,s,p,t,l,n,c,n,k,e,b,s,s,w,w,u,y,b,s,k,a,p
s,f,g,f,y,f,c,n,g,e,e,f,s,w,w,p,n,b,p,k,y,w
b,f,u,t,n,n,c,n,w,t,b,s,s,w,e,u,y,o,z,u,v,d
b,s,u,t,a,a,c,b,n,e,c,f,f,w,w,p,n,b,e,u,a,w
x,y,w,t,c,a,d,b,b,e,u,s,f,w,c,p,w,o,p,n,n,l
c,y,y,t,p,f,w,b,n,e,r,k,k,w,w,u,w,o,n,n,s,g
x,f,g,f,s,f,d,b,p,e,u,s,y,y,w,p,w,t,l,w,c,l
f,s,y,f,n,f,c,n,h,t,e,s,s,e,w,u,y,o,z,u,y,d
x,f,r,t,l,f,d,b,u,e,b,s,s,y,y,p,n,t,p,u,n,g
s,f,b,f,c,a,c,b,y,e,e,f,s,c,c,p,n,o,e,n,y,u
x,s,w,t,p,f,c,n,k,e,u,s,f,w,y,p,n,t,e,k,v,g
k,s,w,f,a,f,w,n,g,e,c,s,s,w,w,u,y,o,s,n,v,m
f,y,n,f,p,f,c,n,h,e,e,s,s,g,g,p,w,o,n,h,v,g
f,y,g,f,n,f,w,b,w,t,e,k,k,w,w,p,w,o,e,w,a,p
x,s,w,t,m,f,d,b,u,e,u,f,s,p,p,p,w,t,p,n,n,m
c,s,y,f,n,n,w,b,n,t,e,s,s,w,w,p,w,o,e,w,c,g
k,s,c,f,l,f,c,n,g,e,c,s,s,b,w,u,y,o,p,n,v,g
f,y,g,f,s,f,w,b,b,t,u,k,s,y,y,p,w,t,p,n,a,g
x,y,w,f,s,f,c,n,u,t,c,s,k,y,y,u,w,t,p,y,n,w
b,s,w,t,c,f,c,n,u,t,u,s,s,c,c,u,w,t,p,b,n,u
b,s,y,t,m,a,d,b,w,e,c,f,f,p,p,p,n,t,c,n,s,g
b,y,u,t,l,a,c,b,k,e,b,s,s,g,g,p,w,b,p,n,a,d
f,s,p,t,l,d,w,n,p,e,c,y,y,w,b,p,w,o,p,u,c,l
x,y,r,t,c,a,d,b,g,e,u,f,f,w,c,p,w,t,c,b,n,u
s,s,w,t,a,f,d,n,y,t,b,s,y,w,w,p,w,o,p,n,c,d
x,f,w,t,p,f,c,b,p,e,e,f,f,o,o,p,w,o,c,r,v,u
k,f,w,f,l,f,w,n,w,t,z,k,k,b,w,p,w,o,p,n,v,d
x,g,b,t,l,d,c,b,p,e,c,y,y,w,b,p,o,o,p,n,s,g
x,s,n,t,p,a,c,n,b,e,u,s,s,y,w,p,w,t,e,y,n,w
x,g,y,t,l,d,c,b,u,e,c,s,y,y,y,p,o,t,l,n,n,g
x,y,g,t,f,f,c,n,w,e,r,k,y,o,o,p,w,o,n,r,c,p
f,y,y,f,l,f,c,b,e,t,c,s,s,n,w,p,w,o,n,k,s,m
s,g,n,t,c,d,c,b,k,e,e,s,y,w,c,p,o,t,l,n,v,d
f,g,b,t,a,f,c,b,h,e,e,s,y,e,w,p,o,b,f,k,s,p
f,y,y,t,a,n,c,b,k,e,c,s,s,w,w,u,y,b,p,k,n,d
c,f,g,f,p,f,w,b,n,t,c,y,y,w,w,p,w,o,e,w,c,g
f,y,b,f,y,f,w,b,k,t,e,k,f,g,g,p,w,b,e,n,a,u
x,s,u,f,y,f,c,n,w,t,c,s,s,w,e,p,y,b,s,u,n,d
b,s,p,f,m,f,c,n,y,e,c,s,s,p,w,u,y,o,s,k,y,w
b,g,e,t,a,f,c,b,g,e,c,y,y,n,w,p,o,b,f,k,n,m
k,y,n,t,l,f,w,b,w,e,z,s,s,w,w,p,w,o,p,n,v,g
c,s,n,t,n,d,w,b,n,t,c,f,y,b,w,p,w,o,l,n,c,p
x,f,w,t,l,a,d,b,r,e,c,f,s,c,c,p,n,t,c,n,y,p
x,f,n,f,s,f,d,b,b,e,e,f,s,y,w,p,w,o,c,y,v,u
k,s,u,t,p,d,w,b,g,e,z,y,s,w,w,p,w,o,p,w,v,d
x,g,u,t,y,d,c,b,k,e,b,s,y,g,w,p,o,b,f,k,a,m
b,g,y,t,f,d,w,b,p,e,c,s,s,w,o,p,o,o,p,r,n,g
x,y,e,t,c,d,d,b,k,e,r,s,y,c,c,p,w,t,p,b,y,g
s,y,b,t,s,d,d,b,r,e,r,y,s,y,w,p,w,t,l,y,y,m
f,g,e,t,n,d,c,b,e,e,c,y,y,e,w,p,w,b,p,k,s,g
b,f,y,t,l,a,c,b,g,e,c,f,f,n,n,p,w,o,e,k,a,g
c,y,e,f,l,f,w,b,n,t,e,s,s,n,w,p,n,o,p,k,n,p
x,f,n,f,n,f,c,b,u,e,e,s,s,w,w,p,w,o,l,n,n,u
f,y,p,t,p,f,w,b,n,e,r,s,y,w,w,p,w,o,f,w,c,g
x,y,w,t,m,f,d,n,u,e,c,s,k,p,p,p,w,o,n,o,s,p
f,y,y,t,l,f,c,b,o,e,r,y,y,g,w,p,w,o,p,h,a,p
s,s,e,f,c,f,d,b,y,e,c,s,s,w,w,u,y,o,z,n,y,l
x,s,r,t,a,f,d,b,u,e,u,y,y,c,w,p,w,o,p,k,n,m
x,s,p,t,l,n,c,b,w,t,r,s,s,w,w,p,w,b,p,k,s,g
x,s,w,t,a,f,d,n,b,e,c,k,s,c,w,u,w,t,n,b,s,g
k,f,g,t,n,a,c,n,g,e,z,s,f,w,y,p,n,t,c,y,y,p
b,s,y,f,l,n,c,n,k,t,c,s,s,n,w,p,y,b,z,n,s,d
x,f,y,f,m,f,w,n,u,t,u,k,s,p,p,u,w,o,p,o,v,g
b,y,y,f,n,f,c,b,k,t,c,k,k,e,w,p,w,b,p,k,a,g
f,y,y,t,l,f,d,b,p,e,r,y,y,y,w,p,o,o,p,y,s,g
s,y,w,t,c,f,d,n,w,e,r,s,s,w,w,u,w,t,p,k,y,m
b,y,w,f,a,f,d,n,r,t,r,s,s,c,w,p,y,t,z,b,y,u
k,g,y,t,a,d,c,b,g,e,c,y,y,o,w,p,w,o,f,n,v,g
f,y,y,t,l,f,c,b,g,e,e,s,f,w,n,p,n,b,p,k,s,m
b,y,g,f,m,f,c,b,y,t,r,k,k,p,p,u,w,o,p,o,n,g
k,s,w,f,p,n,c,n,p,e,z,s,s,w,o,p,y,o,z,r,v,d
s,f,e,t,f,f,c,b,n,e,e,s,s,o,w,p,o,o,l,n,c,d
f,f,n,t,n,f,c,b,g,e,r,s,y,w,c,p,o,o,l,k,y,u
x,f,y,t,c,a,d,b,u,e,c,s,f,c,w,p,w,t,p,b,n,p
f,f,n,t,a,f,w,b,p,e,z,s,f,b,b,p,w,o,e,n,v,d
x,s,w,f,c,n,c,n,k,e,e,s,s,w,c,u,y,t,z,k,n,w
k,s,u,t,l,f,w,b,g,e,z,f,s,b,b,p,w,o,e,n,v,p
f,f,g,t,n,d,w,n,p,e,c,s,y,w,w,p,o,o,l,w,c,u
b,s,y,f,a,n,c,n,g,e,c,s,s,w,w,p,w,b,p,n,s,m
k,g,r,t,f,f,w,b,w,e,z,y,y,w,w,p,o,o,f,r,y,p
k,f,w,t,f,f,w,b,g,t,e,s,y,w,o,p,w,o,f,r,v,g
x,g,n,t,c,f,d,n,u,e,u,y,y,w,c,p,o,o,f,b,v,d
c,g,p,t,l,d,c,b,w,t,c,k,s,w,w,u,w,o,p,n,c,m
f,f,y,t,l,a,w,n,n,t,b,f,s,b,w,p,n,o,c,n,v,g
f,f,g,t,a,a,c,b,k,e,e,s,f,w,w,p,n,b,p,n,n,m
f,y,g,f,a,f,c,n,e,t,e,s,k,n,w,u,w,o,n,n,y,u
b,y,n,t,f,f,c,n,w,t,z,k,k,o,o,p,w,o,p,r,v,g
x,y,w,f,l,f,c,n,k,e,c,k,k,n,n,p,w,o,n,k,a,m
s,y,w,t,s,f,c,b,r,e,r,y,s,y,y,p,w,o,p,y,s,m
f,s,w,f,m,n,d,n,r,t,r,s,s,w,w,p,y,t,p,n,v,m
f,f,b,t,n,a,c,b,w,e,e,f,f,e,e,p,n,o,p,u,s,g
b,s,w,t,a,f,c,b,k,e,b,s,s,w,w,u,y,b,s,k,a,l
x,s,w,f,m,f,c,n,g,t,c,s,k,w,w,p,w,t,p,o,n,g
x,f,e,t,n,a,w,b,n,t,c,f,f,w,w,p,n,o,e,w,s,p
f,y,r,t,l,n,c,b,o,t,b,s,s,w,g,u,w,o,s,h,a,g
s,g,g,t,m,d,d,n,k,e,e,y,s,p,p,p,w,o,p,o,v,w
f,f,w,t,a,a,c,b,h,e,e,f,f,w,n,p,n,b,c,n,s,l
b,s,w,t,n,n,c,b,k,t,c,s,s,w,w,p,w,b,s,u,s,l
k,y,w,f,l,f,c,b,n,t,b,k,s,w,n,u,w,o,p,k,n,m
b,y,u,f,a,n,c,b,w,t,b,s,s,n,w,u,w,o,z,k,n,w
x,s,y,t,c,a,d,b,b,e,u,s,f,w,w,p,w,t,c,b,n,g
b,s,p,f,l,f,w,n,p,t,c,s,k,b,b,u,w,o,p,n,n,m
k,f,n,t,a,f,w,b,w,t,z,f,f,w,w,p,n,o,c,w,v,w
x,f,c,f,p,f,c,n,n,e,e,s,k,w,w,u,w,o,p,n,v,u
b,s,w,f,a,f,c,b,o,e,r,s,y,w,w,u,y,o,s,n,a,p
f,f,w,t,l,a,c,b,h,e,e,s,s,n,w,p,n,b,p,k,s,g
s,s,n,f,a,f,c,n,g,e,b,k,k,e,w,u,w,o,p,u,s,g
x,y,y,f,a,n,w,n,p,e,c,s,s,o,o,p,w,o,z,r,s,g
b,y,w,t,l,f,c,n,o,t,b,s,s,g,w,u,y,b,p,n,s,d
s,f,g,f,n,f,c,n,r,e,e,k,s,w,w,p,w,t,n,n,v,u
c,y,w,t,p,f,w,n,n,t,c,k,k,w,w,p,w,o,n,w,c,p
f,f,w,t,p,f,c,b,k,e,e,f,s,w,w,p,w,b,p,k,s,g
b,g,c,t,a,d,c,b,n,e,b,s,y,w,g,p,w,o,p,n,s,g
f,f,w,t,y,d,c,b,p,e,b,y,y,g,g,p,o,o,l,n,s,m
x,g,e,t,l,d,c,b,n,e,c,y,y,g,w,p,o,o,p,k,s,l
s,s,w,t,l,f,c,n,r,e,r,s,s,w,w,u,y,o,p,y,y,g
x,s,y,f,f,f,w,n,g,e,c,k,s,o,w,p,w,o,n,n,c,g
x,g,b,t,y,f,c,b,e,e,c,s,y,g,g,p,o,o,p,n,s,g
c,s,n,t,p,f,c,n,n,t,c,s,s,w,w,p,y,o,z,w,v,u
b,g,w,t,a,f,c,b,n,e,b,s,s,w,n,p,o,o,l,k,a,g
f,g,p,t,y,d,c,b,h,e,e,y,y,g,g,p,o,o,l,h,s,u
x,y,u,f,l,n,w,n,k,e,z,s,s,b,w,u,y,o,p,k,v,m
s,y,y,f,s,f,c,b,e,e,e,s,y,e,e,p,o,b,l,n,s,p
s,s,g,f,m,f,c,n,y,t,r,s,s,p,p,u,w,o,s,k,y,u
k,s,w,t,p,d,c,b,g,e,z,y,y,w,w,p,o,o,p,n,v,g
x,f,w,f,n,f,c,n,h,t,b,k,s,e,e,p,w,o,p,n,v,d
x,f,w,t,l,a,c,b,h,e,c,s,s,e,e,p,n,b,p,k,s,l
f,y,y,f,y,f,c,n,e,e,e,s,s,g,w,p,w,o,p,n,s,g
k,f,y,t,l,a,w,b,w,e,z,s,y,b,w,p,n,o,e,n,v,d
f,s,n,f,m,f,d,b,b,e,r,s,y,p,w,u,w,o,p,k,n,p
f,y,y,t,a,f,c,n,e,e,r,s,s,e,e,u,w,o,s,u,y,u
f,s,b,f,l,f,c,b,h,t,c,s,s,e,e,p,y,b,z,u,s,g
x,s,w,t,a,d,c,b,w,e,z,y,s,w,o,p,w,o,p,r,n,m
s,f,b,t,p,f,c,b,y,e,r,s,s,w,y,p,n,o,p,y,y,u
x,f,c,t,a,f,d,n,u,t,b,k,s,y,w,p,w,o,p,y,n,d
c,s,w,f,l,n,w,n,w,e,c,s,s,w,w,u,w,o,p,n,c,g
c,s,p,f,p,f,w,n,p,t,c,s,s,w,w,u,y,o,p,u,c,d
x,s,w,f,a,n,d,b,n,t,u,s,s,y,w,p,w,t,z,k,s,d
f,y,w,t,l,d,c,b,w,e,u,y,y,c,w,p,o,t,p,k,y,l
f,s,n,f,y,f,c,b,h,t,e,s,s,w,g,p,w,b,s,h,s,g
c,y,b,t,a,a,w,b,p,e,r,f,y,w,w,p,n,o,p,n,c,g
x,f,n,t,p,f,c,n,p,e,b,f,s,e,e,p,w,o,p,n,a,g
k,f,n,f,n,f,w,b,g,e,e,f,f,w,w,p,w,o,p,w,v,p
s,y,y,f,s,f,c,n,w,e,c,s,s,y,w,u,w,t,n,y,s,m
s,g,b,t,s,f,c,b,n,e,c,y,s,c,w,p,o,t,p,b,s,p
b,y,n,t,l,f,c,b,k,e,b,s,s,w,g,p,w,o,f,h,a,m
f,f,e,f,c,f,c,n,y,e,r,s,k,w,c,u,w,o,p,b,v,u
f,s,p,t,y,f,c,n,w,e,c,s,s,w,w,u,w,b,s,k,n,w
c,y,p,f,l,f,w,n,n,e,c,k,s,w,w,p,w,o,n,k,c,u
b,s,w,t,a,n,c,n,g,e,c,s,s,w,w,u,w,b,p,n,a,m
b,y,r,t,l,f,c,n,w,t,b,k,y,g,w,p,w,b,p,h,a,g
s,s,w,f,c,n,d,n,e,e,e,s,s,w,n,u,y,b,p,k,s,u
s,s,w,t,m,f,d,b,n,e,r,y,y,p,p,p,o,o,l,o,y,p
s,y,w,t,a,f,c,b,r,e,c,y,y,w,w,p,w,t,p,b,y,d
b,y,u,f,l,f,c,n,k,t,b,k,k,w,g,p,w,o,p,u,a,d
f,s,g,f,y,f,c,n,e,e,e,s,s,g,g,p,w,b,z,h,s,u
x,s,g,f,c,f,d,b,u,e,u,f,s,w,w,p,n,o,e,b,a,l
x,s,y,t,a,n,d,b,u,t,u,s,s,w,y,u,y,o,s,y,n,d
c,s,w,t,p,a,c,b,h,e,e,s,y,w,w,p,o,b,f,n,s,m
f,y,n,t,p,a,c,b,w,e,z,f,s,o,w,p,w,o,p,r,v,m
x,s,e,t,l,a,c,b,n,e,r,f,f,y,y,p,n,o,c,k,y,m
c,s,p,f,l,f,w,n,p,e,c,k,s,b,w,p,w,o,p,n,c,g
x,y,w,t,l,f,w,b,k,e,c,s,k,w,w,p,w,o,p,w,c,d
x,y,n,t,n,d,c,b,k,e,c,y,s,e,w,p,o,o,p,u,a,m
f,y,n,f,m,f,c,b,n,t,u,k,y,p,p,p,w,t,p,o,n,p
b,f,r,t,a,a,c,b,w,e,b,s,y,e,w,p,n,b,p,o,s,p
f,y,p,t,a,n,d,b,w,e,r,s,y,c,w,u,w,t,s,n,y,p
x,y,c,t,s,n,d,b,w,t,c,s,s,y,y,p,y,o,s,y,n,m
k,s,c,f,f,n,w,n,h,t,z,s,s,w,w,u,y,o,e,r,v,g
s,f,p,t,s,a,d,b,r,e,c,f,f,y,y,p,w,t,p,n,n,m
x,y,w,t,m,a,c,b,b,e,u,f,s,p,w,p,w,t,c,o,s,u
b,y,y,f,m,n,d,n,n,t,c,s,s,w,w,u,y,o,p,n,n,l
s,f,b,f,n,f,c,b,n,e,c,f,f,w,w,p,n,o,c,n,v,m
c,s,b,t,l,a,c,b,k,e,r,s,s,p,p,p,w,t,p,o,s,d
b,s,n,f,n,f,c,n,o,e,b,s,s,w,w,p,w,b,p,u,a,g
k,s,u,t,a,f,w,b,g,e,z,s,s,w,w,p,y,o,s,r,s,g
s,y,y,t,s,a,c,b,g,e,r,f,s,y,y,p,w,o,e,y,s,u
b,y,w,t,a,d,c,b,g,e,b,y,s,w,g,p,w,o,p,k,s,u
x,f,n,t,s,f,d,b,u,e,u,f,f,w,y,p,w,o,c,n,n,p
b,y,c,f,y,f,c,n,o,e,b,s,s,w,g,u,w,o,p,h,y,d
k,f,w,t,p,a,c,n,w,t,e,s,s,w,b,u,y,o,z,k,y,u
b,g,r,t,l,d,w,b,n,e,z,y,s,w,w,p,o,o,l,n,s,g
x,s,w,f,f,n,w,b,g,t,z,s,s,w,o,u,y,o,p,k,s,m
x,y,w,f,l,f,d,n,b,e,u,s,s,w,w,p,w,t,p,n,s,p
x,s,p,t,a,f,c,n,g,e,c,s,s,w,g,u,y,o,s,k,s,m
x,f,c,t,a,a,d,b,g,e,u,f,s,w,p,p,w,o,p,n,n,p
x,y,u,f,m,f,c,b,k,e,u,k,k,w,p,p,w,t,p,o,n,l
x,s,c,f,n,f,w,n,k,t,b,f,f,e,e,u,w,o,e,k,a,g
s,s,p,t,a,d,d,b,y,e,r,s,s,w,p,p,w,o,p,n,y,p
x,y,w,t,p,f,c,n,p,t,r,s,k,w,y,u,w,t,p,y,s,w
c,s,w,f,f,f,w,n,n,t,c,f,s,w,o,u,w,o,e,k,c,g
b,y,w,t,m,f,d,b,w,e,c,f,s,p,p,p,w,t,e,o,y,g
b,g,y,t,a,d,c,b,k,e,b,y,s,w,n,p,o,o,f,n,v,d
f,y,e,f,y,f,c,b,n,t,c,s,s,g,w,p,w,o,p,h,s,g
x,s,w,f,f,n,w,n,g,e,c,s,s,o,o,u,y,o,p,r,s,g
s,f,g,t,s,d,c,b,p,t,r,s,s,g,p,p,o,t,p,n,y,d
b,y,c,t,l,a,c,b,k,e,c,f,s,w,w,p,w,b,c,n,a,m
s,y,g,f,l,f,d,n,g,t,c,k,s,c,w,u,w,t,n,n,n,p
f,y,n,t,a,a,c,b,o,e,r,s,f,w,w,p,n,o,e,k,a,g
k,f,n,f,n,f,w,b,g,t,z,k,s,b,b,u,w,o,n,n,s,g
c,g,p,t,l,f,w,b,w,e,c,s,s,w,b,p,w,o,f,k,s,d
